date,sleep_hours,study_hours,training_hours,stress,fatigue,productivity
2023-01-01,6.96,1.58,1.18,6.37,5.3,6.0
2023-01-02,7.45,2.58,1.28,8.17,4.81,5.61
2023-01-03,5.8,2.66,1.54,6.82,6.28,5.02
2023-01-04,6.78,2.2,1.53,5.89,5.89,5.48
2023-01-05,6.17,2.84,0.31,5.55,5.84,5.2
2023-01-06,6.26,3.4,0.53,8.07,6.43,4.6
2023-01-07,6.2,4.89,1.26,6.79,6.14,6.15
2023-01-08,6.07,3.17,1.26,9.23,5.76,4.47
2023-01-09,6.52,3.26,1.26,5.36,5.43,6.89
2023-01-10,6.08,2.93,2.93,9.85,6.94,4.01
2023-01-11,6.64,1.08,1.29,7.07,5.75,4.72
2023-01-12,6.47,2.97,1.57,7.48,6.1,5.09
2023-01-13,6.38,3.06,1.48,7.08,6.29,6.04
2023-01-14,6.05,5.46,1.33,8.74,6.52,5.57
2023-01-15,6.21,2.81,0.84,7.44,6.92,5.09
2023-01-16,6.88,3.3,1.38,8.73,6.14,4.46
2023-01-17,6.75,2.97,0.61,7.39,6.02,5.35
2023-01-18,6.01,1.83,0.88,7.25,6.44,4.8
2023-01-19,6.55,4.14,0.76,7.42,6.58,5.44
2023-01-20,6.88,3.75,1.04,7.65,6.35,6.05
2023-01-21,5.67,3.79,2.16,8.48,6.93,4.53
2023-01-22,6.77,2.09,0.07,5.15,6.04,6.09
2023-01-23,6.17,4.4,1.34,6.87,7.51,6.43
2023-01-24,6.79,1.6,0.19,7.54,6.29,4.23
2023-01-25,6.12,3.59,0.76,7.93,7.26,4.32
2023-01-26,5.6,5.19,1.54,8.32,7.41,5.71
2023-01-27,5.69,2.01,1.03,7.23,6.51,5.07
2023-01-28,6.52,2.43,0.46,7.49,6.37,4.41
2023-01-29,6.63,3.1,0.64,6.9,6.58,4.93
2023-01-30,6.05,2.5,1.34,6.82,7.24,4.44
2023-01-31,6.82,1.45,0.63,6.97,5.71,4.23
2023-02-01,5.67,3.07,1.11,6.82,7.71,3.91
2023-02-02,6.47,1.94,1.02,7.62,6.61,3.99
2023-02-03,5.89,3.47,0.67,5.96,7.09,4.62
2023-02-04,6.17,2.08,2.07,8.64,6.82,4.3
2023-02-05,6.52,4.55,1.32,8.6,6.83,5.38
2023-02-06,6.07,2.22,0.0,7.35,7.11,4.75
2023-02-07,6.31,2.68,1.09,8.53,7.12,3.75
2023-02-08,7.0,3.81,0.67,9.32,6.55,5.4
2023-02-09,6.21,1.77,1.43,8.32,6.72,4.05
2023-02-10,6.92,3.23,0.6,5.67,6.83,5.57
2023-02-11,5.94,4.31,0.94,6.94,8.24,5.03
2023-02-12,6.76,1.39,1.25,6.53,6.77,4.18
2023-02-13,7.22,3.18,1.43,7.73,6.6,5.64
2023-02-14,5.26,3.26,0.4,8.18,7.8,3.66
2023-02-15,6.1,3.78,0.83,7.18,7.61,4.96
2023-02-16,6.79,1.76,0.76,7.18,6.16,4.95
2023-02-17,6.4,1.68,0.67,6.38,7.15,5.63
2023-02-18,6.69,3.52,1.88,7.53,7.6,4.8
2023-02-19,6.2,3.3,1.2,6.54,7.99,4.46
2023-02-20,6.54,3.25,0.37,6.77,8.02,4.23
2023-02-21,6.42,3.35,1.46,6.72,8.15,4.53
2023-02-22,7.08,2.32,2.06,6.81,7.36,4.88
2023-02-23,6.63,3.23,1.52,8.96,7.44,5.09
2023-02-24,6.67,3.29,0.24,6.77,8.32,5.17
2023-02-25,6.29,2.29,0.76,10.0,7.7,3.02
2023-02-26,6.26,4.87,1.63,9.13,8.44,4.14
2023-02-27,6.28,3.47,0.65,8.01,7.98,4.46
2023-02-28,6.7,1.81,1.22,6.58,7.66,4.23
2023-03-01,6.29,3.66,1.39,8.86,8.2,4.5
2023-03-02,6.64,2.03,0.54,6.68,7.44,4.51
2023-03-03,7.54,3.79,0.97,8.04,7.48,4.51
2023-03-04,6.94,4.16,0.0,10.0,7.86,4.86
2023-03-05,6.34,2.18,0.49,7.25,7.74,4.91
2023-03-06,7.1,3.96,0.87,9.16,7.79,4.33
2023-03-07,6.3,3.41,0.38,7.09,8.27,4.1
2023-03-08,5.48,3.82,1.82,8.46,8.98,3.93
2023-03-09,6.0,4.9,0.28,10.0,9.2,3.63
2023-03-10,5.56,2.75,0.78,7.0,7.88,4.29
2023-03-11,6.32,2.25,1.07,9.53,8.62,4.18
2023-03-12,6.51,2.11,1.72,8.6,8.71,3.56
2023-03-13,7.34,2.18,0.28,6.59,7.07,4.52
2023-03-14,6.66,2.92,1.58,8.66,8.38,3.43
2023-03-15,6.39,3.34,1.01,8.98,8.52,3.47
2023-03-16,6.91,3.28,0.51,8.33,7.87,4.35
2023-03-17,5.39,3.83,1.23,6.77,9.12,4.92
