date,sleep_hours,study_hours,training_hours,stress,fatigue,productivity
2023-01-01,8.65,5.79,2.06,7.42,3.66,9.82
2023-01-02,8.57,5.58,1.57,8.53,4.54,7.53
2023-01-03,8.36,4.3,2.28,7.17,5.15,7.25
2023-01-04,8.99,4.62,1.95,8.15,4.87,8.36
2023-01-05,8.61,4.5,2.02,7.36,4.55,8.57
2023-01-06,8.24,5.49,1.94,8.21,5.99,6.88
2023-01-07,8.1,4.07,1.9,7.19,4.07,7.35
2023-01-08,8.15,5.14,2.06,7.91,5.22,7.24
2023-01-09,8.25,5.52,1.66,8.68,5.43,6.48
2023-01-10,8.16,5.75,1.68,8.0,5.92,6.76
2023-01-11,8.19,4.68,2.36,8.45,6.02,6.33
2023-01-12,8.29,5.64,2.45,8.25,4.35,7.64
2023-01-13,8.17,4.22,1.87,7.88,3.6,7.61
2023-01-14,8.9,5.69,1.77,9.37,6.32,7.13
2023-01-15,8.08,4.25,2.14,8.5,5.57,7.48
2023-01-16,8.52,4.79,1.91,7.31,4.33,7.43
2023-01-17,8.41,5.59,1.53,7.55,6.77,7.52
2023-01-18,8.98,4.3,1.66,7.27,4.82,7.59
2023-01-19,8.11,4.46,2.22,8.49,6.46,6.45
2023-01-20,8.4,5.44,2.16,7.46,5.39,8.07
2023-01-21,8.97,5.44,1.53,8.47,6.97,6.33
2023-01-22,8.87,5.28,1.72,8.64,6.72,7.07
2023-01-23,8.82,5.39,1.73,7.76,4.76,8.03
2023-01-24,8.26,5.09,2.17,8.98,6.29,6.95
2023-01-25,8.17,4.5,1.52,7.17,5.77,7.13
2023-01-26,8.67,4.69,1.6,7.3,6.29,8.31
2023-01-27,8.93,4.36,2.3,8.24,3.91,7.65
2023-01-28,8.56,5.82,1.68,8.42,5.91,7.06
2023-01-29,8.57,5.17,2.15,8.82,6.24,6.64
2023-01-30,8.28,4.8,1.74,7.51,3.41,7.79
2023-01-31,8.77,4.92,1.6,7.19,3.74,7.96
2023-02-01,8.19,5.89,1.74,8.61,3.39,8.73
2023-02-02,8.32,4.31,2.22,8.53,4.88,7.85
2023-02-03,8.43,5.17,2.36,8.85,6.01,6.75
2023-02-04,8.51,5.01,2.33,8.08,6.71,6.53
2023-02-05,8.24,5.22,1.9,8.39,5.37,7.45
2023-02-06,8.11,4.04,2.17,7.95,6.82,6.04
2023-02-07,8.61,5.74,1.7,7.17,3.8,8.85
2023-02-08,8.29,5.86,1.79,8.86,3.69,8.09
2023-02-09,8.58,5.13,2.4,7.56,5.16,7.07
2023-02-10,8.15,5.39,1.51,9.11,5.68,7.55
2023-02-11,8.48,5.84,1.59,8.16,5.22,8.52
2023-02-12,8.53,5.41,1.71,7.12,3.09,8.36
2023-02-13,8.05,4.31,1.53,7.84,5.05,6.74
2023-02-14,8.34,5.15,1.68,8.58,3.9,7.85
2023-02-15,8.13,5.21,2.08,8.86,6.06,6.96
2023-02-16,8.06,4.85,1.92,8.78,5.69,7.06
2023-02-17,8.99,5.47,2.39,8.51,4.14,9.3
2023-02-18,8.32,5.87,2.32,8.83,4.97,7.58
2023-02-19,8.81,5.85,1.84,8.82,4.07,7.72
2023-02-20,8.25,4.9,1.76,7.53,5.15,6.71
2023-02-21,8.68,4.23,1.88,7.98,5.84,6.6
2023-02-22,8.76,5.97,2.09,7.71,4.24,8.47
2023-02-23,8.6,5.68,1.77,9.35,5.69,8.02
2023-02-24,8.47,4.25,2.12,8.7,4.51,7.0
2023-02-25,8.41,5.84,1.91,7.32,4.56,8.31
2023-02-26,8.35,5.74,2.05,8.8,5.27,7.43
2023-02-27,8.93,5.04,1.94,8.72,3.89,8.58
2023-02-28,8.83,5.18,1.79,7.34,4.43,9.41
2023-03-01,8.97,4.8,2.45,8.07,3.76,8.05
2023-03-02,8.12,4.11,2.26,9.18,7.17,5.61
2023-03-03,8.73,4.67,1.64,6.95,4.94,8.29
2023-03-04,8.94,5.61,2.37,8.67,4.43,8.49
2023-03-05,8.18,4.01,1.99,7.45,5.32,7.95
2023-03-06,8.07,4.67,2.39,9.02,5.27,7.2
2023-03-07,8.74,4.8,2.3,9.04,4.83,7.26
2023-03-08,8.57,5.07,1.93,9.14,5.72,7.26
2023-03-09,8.84,5.84,1.52,8.32,5.81,8.05
2023-03-10,8.14,4.69,1.77,8.6,4.69,7.53
2023-03-11,8.8,4.69,2.04,8.58,4.37,7.92
2023-03-12,8.2,5.48,2.13,7.95,5.14,8.12
2023-03-13,8.16,4.9,1.76,8.25,2.95,8.6
2023-03-14,8.16,4.45,1.64,6.62,3.62,8.71
2023-03-15,8.81,4.9,2.33,8.64,6.41,7.33
2023-03-16,8.67,4.28,2.48,7.82,6.66,6.8
2023-03-17,8.52,4.35,2.03,7.11,4.77,7.74
2023-03-18,8.36,5.0,1.67,7.3,5.73,7.9
2023-03-19,8.88,4.84,1.77,8.41,5.19,7.0
2023-03-20,8.39,5.83,1.52,8.56,8.36,6.36
2023-03-21,8.82,4.72,2.41,8.82,6.14,6.83
2023-03-22,8.44,5.16,1.62,7.17,5.01,7.73
2023-03-23,8.38,5.26,2.08,7.7,4.32,8.62
2023-03-24,8.46,4.03,1.77,7.48,3.32,8.0
2023-03-25,8.3,5.33,2.05,8.9,5.53,7.14
2023-03-26,8.75,4.36,2.15,7.43,4.17,7.29
2023-03-27,8.5,5.92,2.33,8.52,3.98,8.64
2023-03-28,8.23,4.3,1.71,8.46,4.44,7.46
2023-03-29,8.9,4.83,1.51,7.88,3.74,9.16
2023-03-30,8.38,4.17,1.64,7.55,6.66,6.37
2023-03-31,8.54,5.99,2.4,7.82,6.29,7.73
2023-04-01,8.91,5.0,2.37,8.95,5.01,7.7
2023-04-02,8.62,5.19,2.1,7.55,6.63,7.99
2023-04-03,8.12,4.13,2.1,8.67,5.27,6.69
2023-04-04,8.94,5.5,2.17,8.2,4.2,8.42
2023-04-05,8.63,4.42,1.68,8.99,6.42,6.72
2023-04-06,8.33,5.8,2.41,9.27,6.02,7.21
2023-04-07,8.14,4.41,1.92,8.73,4.16,7.01
2023-04-08,8.79,4.38,1.88,7.51,4.67,7.79
2023-04-09,8.62,4.07,2.02,8.16,4.03,8.12
2023-04-10,8.53,4.94,1.55,7.48,3.65,7.59
