date,sleep_hours,study_hours,training_hours,stress,fatigue,productivity
2023-01-01,8.75,1.58,1.18,10.0,2.59,6.52
2023-01-02,7.79,2.58,1.28,10.0,4.28,5.82
2023-01-03,8.97,2.66,1.54,10.0,4.36,6.14
2023-01-04,10.28,2.2,1.53,10.0,3.66,6.69
2023-01-05,7.65,2.84,0.31,10.0,4.35,5.83
2023-01-06,7.65,3.4,0.53,10.0,5.58,4.78
2023-01-07,10.37,4.89,1.26,10.0,2.98,8.46
2023-01-08,9.15,3.17,1.26,10.0,4.17,6.41
2023-01-09,7.3,3.26,1.26,10.0,5.37,5.52
2023-01-10,8.81,2.93,2.93,10.0,5.28,6.61
2023-01-11,7.3,1.08,1.29,10.0,5.53,4.87
2023-01-12,7.3,2.97,1.57,10.0,4.14,5.5
2023-01-13,8.36,3.06,1.48,10.0,3.2,6.53
2023-01-14,5.13,5.46,1.33,10.0,8.07,3.53
2023-01-15,5.41,2.81,0.84,10.0,6.36,3.42
2023-01-16,7.16,3.3,1.38,10.0,4.61,5.76
2023-01-17,6.48,2.97,0.61,10.0,7.03,4.28
2023-01-18,8.47,1.83,0.88,10.0,4.43,5.1
2023-01-19,6.64,4.14,0.76,10.0,6.84,5.0
2023-01-20,5.88,3.75,1.04,10.0,6.09,5.09
2023-01-21,10.2,3.79,2.16,10.0,6.15,7.11
2023-01-22,7.66,2.09,0.07,10.0,6.36,5.18
2023-01-23,8.1,4.4,1.34,10.0,4.85,5.99
2023-01-24,5.86,1.6,0.19,10.0,6.4,2.55
2023-01-25,7.18,3.59,0.76,10.0,5.93,4.09
2023-01-26,8.17,5.19,1.54,10.0,6.63,6.82
2023-01-27,6.27,2.01,1.03,10.0,4.51,4.87
2023-01-28,8.56,2.43,0.46,10.0,4.99,5.47
2023-01-29,7.1,3.1,0.64,10.0,6.26,4.72
2023-01-30,7.56,2.5,1.34,10.0,3.23,5.43
2023-01-31,7.1,1.45,0.63,10.0,3.69,6.17
2023-02-01,10.78,3.07,1.11,9.91,1.41,8.58
2023-02-02,7.98,1.94,1.02,10.0,4.33,5.49
2023-02-03,6.41,3.47,0.67,10.0,6.34,4.72
2023-02-04,9.23,2.08,2.07,10.0,5.72,6.12
2023-02-05,6.17,4.55,1.32,10.0,6.16,5.05
2023-02-06,8.31,2.22,0.0,10.0,5.92,4.38
2023-02-07,5.06,2.68,1.09,10.0,4.84,4.33
2023-02-08,6.01,3.81,0.67,10.0,4.19,6.09
2023-02-09,8.3,1.77,1.43,10.0,4.43,6.29
2023-02-10,9.11,3.23,0.6,10.0,4.59,7.09
2023-02-11,8.26,4.31,0.94,10.0,4.89,6.02
2023-02-12,7.83,1.39,1.25,10.0,2.54,5.43
2023-02-13,7.55,3.18,1.43,10.0,5.06,5.49
2023-02-14,5.78,3.26,0.4,10.0,4.54,4.63
2023-02-15,6.92,3.78,0.83,10.0,6.13,5.42
2023-02-16,7.31,1.76,0.76,9.93,5.22,3.77
2023-02-17,9.59,1.68,0.67,10.0,2.74,7.44
2023-02-18,8.52,3.52,1.88,10.0,4.31,6.53
2023-02-19,5.36,3.3,1.2,10.0,5.16,4.18
2023-02-20,8.49,3.25,0.37,10.0,4.42,5.48
2023-02-21,7.42,3.35,1.46,10.0,6.21,4.28
2023-02-22,6.98,2.32,2.06,10.0,4.4,5.79
2023-02-23,8.92,3.23,1.52,10.0,4.99,6.35
2023-02-24,9.55,3.29,0.24,10.0,3.4,6.26
2023-02-25,9.4,2.29,0.76,10.0,3.12,6.05
2023-02-26,6.74,4.87,1.63,10.0,5.82,5.41
2023-02-27,7.54,3.47,0.65,10.0,4.01,6.68
2023-02-28,8.5,1.81,1.22,10.0,3.81,5.79
2023-03-01,9.46,3.66,1.39,10.0,3.08,6.73
2023-03-02,7.28,2.03,0.54,10.0,6.83,3.86
2023-03-03,7.72,3.79,0.97,10.0,5.13,5.58
2023-03-04,6.34,4.16,0.0,10.0,4.96,3.6
2023-03-05,6.21,2.18,0.49,10.0,5.64,3.94
2023-03-06,9.22,3.96,0.87,10.0,4.25,6.74
2023-03-07,10.03,3.41,0.38,10.0,3.52,7.53
2023-03-08,7.89,3.82,1.82,10.0,5.79,6.73
2023-03-09,9.51,4.9,0.28,10.0,5.04,7.45
2023-03-10,8.54,2.75,0.78,10.0,3.91,6.01
2023-03-11,7.03,2.25,1.07,10.0,4.57,4.46
2023-03-12,8.54,2.11,1.72,10.0,4.22,7.33
2023-03-13,10.31,2.18,0.28,9.28,1.04,8.04
2023-03-14,7.95,2.92,1.58,10.0,3.4,6.36
2023-03-15,10.35,3.34,1.01,10.0,5.07,6.88
2023-03-16,4.07,3.28,0.51,10.0,8.36,2.35
2023-03-17,9.23,3.83,1.23,10.0,4.15,6.89
2023-03-18,8.13,3.01,1.1,10.0,5.34,5.28
2023-03-19,7.55,4.45,0.7,10.0,5.56,5.37
2023-03-20,8.14,2.74,1.03,10.0,7.76,4.45
2023-03-21,5.02,5.72,0.81,10.0,7.92,3.7
2023-03-22,7.67,3.63,1.06,10.0,4.97,5.36
2023-03-23,8.54,2.14,1.33,10.0,3.46,6.29
2023-03-24,10.22,1.93,1.79,10.0,2.02,7.58
2023-03-25,7.22,3.48,0.38,10.0,5.36,5.82
2023-03-26,6.79,2.78,2.07,10.0,4.82,3.98
2023-03-27,7.25,3.71,0.02,10.0,3.7,6.28
2023-03-28,9.37,3.47,0.92,10.0,3.54,7.65
2023-03-29,8.49,2.93,1.29,10.0,3.52,5.46
2023-03-30,7.21,2.15,1.14,10.0,6.74,4.04
2023-03-31,8.77,1.49,0.69,10.0,4.93,5.13
2023-04-01,8.15,2.55,0.9,10.0,4.61,4.92
2023-04-02,9.45,3.86,0.75,10.0,5.68,5.93
2023-04-03,6.95,3.21,0.71,10.0,5.39,4.36
2023-04-04,7.51,1.75,1.42,10.0,4.02,6.25
2023-04-05,7.41,3.17,1.18,10.0,6.68,5.22
2023-04-06,5.8,3.39,0.65,10.0,6.45,4.61
2023-04-07,8.44,2.12,1.45,10.0,3.45,6.58
2023-04-08,8.39,3.15,1.15,10.0,4.47,5.55
2023-04-09,8.01,3.06,1.41,10.0,4.01,5.89
2023-04-10,7.65,1.86,1.31,10.0,3.43,5.94
