date,sleep_hours,study_hours,training_hours,stress,fatigue,productivity
2023-01-01,8.75,2.6,1.1,6.84,4.22,7.33
2023-01-02,7.79,3.22,0.51,6.97,3.63,6.35
2023-01-03,8.97,3.01,1.2,4.09,4.15,8.97
2023-01-04,10.28,3.1,0.15,7.88,2.66,8.05
2023-01-05,7.65,2.23,1.51,7.51,4.34,6.29
2023-01-06,7.65,3.02,1.24,8.9,5.62,5.94
2023-01-07,10.37,3.5,1.13,3.47,5.41,8.93
2023-01-08,9.15,4.45,1.49,10.0,5.0,7.38
2023-01-09,7.3,3.96,1.83,7.39,4.31,7.09
2023-01-10,8.81,5.15,1.51,9.73,5.37,6.65
2023-01-11,7.3,2.23,0.08,5.34,6.01,5.84
2023-01-12,7.3,3.87,0.36,8.11,4.59,5.57
2023-01-13,8.36,3.18,0.69,5.47,4.46,7.39
2023-01-14,5.13,5.19,1.01,7.26,6.68,5.18
2023-01-15,5.41,2.19,1.26,9.95,5.2,3.89
2023-01-16,7.16,2.16,0.64,6.68,5.63,5.42
2023-01-17,6.48,2.4,1.09,7.44,5.34,4.32
2023-01-18,8.47,0.88,0.62,7.66,4.48,5.51
2023-01-19,6.64,2.47,0.69,7.57,4.42,5.62
2023-01-20,5.88,2.24,0.3,7.02,5.13,4.95
2023-01-21,10.2,3.15,0.54,7.53,4.36,7.11
2023-01-22,7.66,3.34,0.32,10.0,4.53,6.18
2023-01-23,8.1,4.88,0.51,7.88,6.76,5.76
2023-01-24,5.86,3.95,1.53,8.1,5.77,5.82
2023-01-25,7.18,2.42,0.53,8.51,5.22,5.39
2023-01-26,8.17,2.1,2.32,9.13,5.73,5.37
2023-01-27,6.27,3.49,1.25,9.08,4.39,6.41
2023-01-28,8.56,1.68,1.09,7.29,2.51,6.59
2023-01-29,7.1,4.83,0.57,5.71,4.0,7.9
2023-01-30,7.56,4.18,1.35,10.0,6.59,5.82
2023-01-31,7.1,2.53,0.71,5.16,4.55,6.17
2023-02-01,10.78,1.29,1.06,7.28,5.64,7.58
2023-02-02,7.98,4.35,2.28,6.81,4.78,7.43
2023-02-03,6.41,2.89,0.95,7.2,5.74,5.43
2023-02-04,9.23,4.24,1.57,8.45,6.09,7.04
2023-02-05,6.17,1.41,0.65,7.57,7.34,3.67
2023-02-06,8.31,2.4,0.98,7.96,6.58,5.89
2023-02-07,5.06,3.01,1.89,10.0,7.66,3.73
2023-02-08,6.01,3.05,0.69,8.15,6.76,3.51
2023-02-09,8.3,2.55,1.91,7.03,5.33,7.25
2023-02-10,9.11,3.62,1.35,8.98,5.22,5.89
2023-02-11,8.26,1.93,0.72,8.35,3.85,6.69
2023-02-12,7.83,2.86,1.32,5.23,4.1,7.91
2023-02-13,7.55,3.12,1.49,8.31,5.15,5.47
2023-02-14,5.78,3.51,1.31,8.68,5.9,4.62
2023-02-15,6.92,3.71,0.21,6.7,4.87,5.59
2023-02-16,7.31,1.88,0.64,8.93,5.55,4.69
2023-02-17,9.59,1.47,0.88,6.4,4.64,6.82
2023-02-18,8.52,4.28,0.96,7.74,4.88,7.48
2023-02-19,5.36,3.33,1.31,7.68,7.73,4.77
2023-02-20,8.49,2.25,1.09,6.68,3.28,7.95
2023-02-21,7.42,4.55,0.33,5.84,5.08,6.67
2023-02-22,6.98,3.12,1.19,5.06,4.65,6.71
2023-02-23,8.92,4.18,1.31,9.59,2.77,6.8
2023-02-24,9.55,3.07,1.28,5.84,4.01,7.73
2023-02-25,9.4,5.06,1.54,6.39,4.5,9.05
2023-02-26,6.74,4.76,1.42,5.1,7.38,7.13
2023-02-27,7.54,2.75,1.23,6.37,5.66,5.55
2023-02-28,8.5,3.97,0.96,5.24,3.72,7.87
2023-03-01,9.46,3.65,0.17,9.78,5.88,6.04
2023-03-02,7.28,4.37,1.21,9.52,6.7,5.46
2023-03-03,7.72,2.04,1.1,5.98,5.35,5.77
2023-03-04,6.34,3.69,1.14,10.0,5.57,5.07
2023-03-05,6.21,4.06,0.36,8.76,4.82,5.14
2023-03-06,9.22,1.24,0.46,5.69,3.36,7.29
2023-03-07,10.03,1.82,1.53,3.2,4.74,8.72
2023-03-08,7.89,0.96,0.98,10.0,6.32,4.2
2023-03-09,9.51,2.73,1.34,5.26,5.6,7.31
2023-03-10,8.54,3.72,1.01,4.79,4.19,8.0
2023-03-11,7.03,4.5,1.01,9.08,4.47,6.16
2023-03-12,8.54,3.07,1.47,10.0,4.78,5.94
2023-03-13,10.31,4.63,0.74,9.12,2.15,8.6
2023-03-14,7.95,1.62,1.05,7.63,4.88,6.6
2023-03-15,10.35,1.3,0.77,7.13,3.09,7.93
2023-03-16,4.07,2.94,0.78,8.64,6.24,3.31
2023-03-17,9.23,3.38,0.85,7.94,2.64,8.23
2023-03-18,8.13,2.97,1.11,7.7,5.26,6.11
2023-03-19,7.55,0.93,0.76,6.47,4.03,6.51
2023-03-20,8.14,2.91,1.63,7.01,3.67,7.44
2023-03-21,5.02,1.7,0.55,5.16,3.07,5.63
2023-03-22,7.67,3.67,0.91,6.96,5.05,6.79
2023-03-23,8.54,3.37,0.78,4.97,6.33,6.14
2023-03-24,10.22,2.06,1.72,7.05,5.31,6.75
2023-03-25,7.22,2.49,1.1,5.53,4.65,5.92
2023-03-26,6.79,1.94,1.52,5.32,4.7,6.32
2023-03-27,7.25,2.94,0.26,7.33,5.48,6.45
2023-03-28,9.37,3.96,1.13,9.28,3.33,8.71
2023-03-29,8.49,2.01,1.44,8.36,4.74,6.49
2023-03-30,7.21,3.5,1.04,5.22,6.07,6.67
2023-03-31,8.77,2.47,1.53,5.85,5.64,6.02
2023-04-01,8.15,2.21,0.74,8.18,4.42,5.79
2023-04-02,9.45,2.89,1.7,5.71,3.99,7.79
2023-04-03,6.95,1.96,2.15,6.79,4.47,5.87
2023-04-04,7.51,2.45,0.82,7.62,4.07,6.08
2023-04-05,7.41,1.8,0.78,5.24,4.58,6.12
2023-04-06,5.8,4.96,1.73,8.53,6.81,4.23
2023-04-07,8.44,3.04,1.79,5.58,5.66,7.51
2023-04-08,8.39,2.3,0.74,5.73,3.61,6.74
2023-04-09,8.01,3.21,0.79,7.94,6.28,5.85
2023-04-10,7.65,2.89,0.86,4.67,4.65,8.11
2023-04-11,5.88,2.78,0.33,7.73,5.66,4.21
2023-04-12,7.37,3.61,0.54,7.09,4.39,5.24
2023-04-13,7.49,3.76,0.5,7.65,2.69,6.99
2023-04-14,6.8,2.47,0.62,7.49,6.1,5.54
2023-04-15,7.76,2.42,0.98,9.18,5.54,6.25
2023-04-16,8.61,2.72,1.12,7.18,4.18,6.39
2023-04-17,10.83,0.7,1.78,5.73,3.15,8.6
2023-04-18,8.26,1.48,0.5,6.73,4.79,5.81
2023-04-19,8.39,4.37,1.49,8.25,3.42,7.59
2023-04-20,7.89,4.64,0.89,7.66,4.63,8.34
2023-04-21,5.12,2.75,0.98,7.57,6.98,3.24
2023-04-22,7.96,3.58,1.34,6.18,3.75,7.69
2023-04-23,8.09,3.31,0.44,6.13,5.0,7.0
2023-04-24,11.69,6.0,1.19,5.5,2.23,10.0
2023-04-25,7.71,4.12,1.08,10.0,5.65,5.71
2023-04-26,8.45,2.87,1.25,5.28,4.56,7.6
2023-04-27,7.95,2.04,1.14,5.52,3.04,7.16
2023-04-28,6.25,1.39,2.23,6.36,6.76,4.97
2023-04-29,9.71,3.2,0.68,8.14,3.19,7.55
2023-04-30,9.13,2.24,0.73,6.09,3.22,7.97
2023-05-01,9.19,1.58,0.69,8.36,4.06,6.22
2023-05-02,6.64,2.35,0.72,6.2,6.44,5.33
2023-05-03,10.1,1.92,0.68,6.69,2.45,8.12
2023-05-04,5.9,4.69,1.59,6.91,6.37,6.35
2023-05-05,8.88,3.88,1.71,10.0,5.11,6.54
2023-05-06,11.29,2.99,0.71,5.09,3.79,8.23
2023-05-07,6.51,4.48,0.58,8.17,5.94,6.13
