date,sleep_hours,study_hours,training_hours,stress,fatigue,productivity
2023-01-01,4.29,1.58,1.18,5.55,4.82,4.73
2023-01-02,4.14,2.58,1.28,6.54,6.1,4.31
2023-01-03,4.0,2.66,1.54,8.75,6.85,3.03
2023-01-04,4.97,2.2,1.53,8.3,6.31,3.48
2023-01-05,4.21,2.84,0.31,7.13,6.07,4.28
2023-01-06,4.0,3.4,0.53,7.84,7.41,2.88
2023-01-07,4.0,4.89,1.26,10.0,6.16,4.01
2023-01-08,4.0,3.17,1.26,6.79,6.75,3.77
2023-01-09,4.0,3.26,1.26,8.58,7.02,3.64
2023-01-10,4.0,2.93,2.93,7.99,7.68,3.85
2023-01-11,4.0,1.08,1.29,6.82,7.18,3.52
2023-01-12,4.0,2.97,1.57,9.17,5.79,3.44
2023-01-13,4.0,3.06,1.48,8.68,5.38,3.88
2023-01-14,4.79,5.46,1.33,9.91,8.24,3.32
2023-01-15,4.0,2.81,0.84,9.47,7.06,2.59
2023-01-16,4.05,3.3,1.38,7.67,6.16,4.28
2023-01-17,4.0,2.97,0.61,8.75,8.27,2.92
2023-01-18,4.96,1.83,0.88,6.58,6.18,3.67
2023-01-19,4.0,4.14,0.76,8.59,8.16,3.58
2023-01-20,4.0,3.75,1.04,7.64,7.03,4.49
2023-01-21,4.94,3.79,2.16,8.69,8.78,3.82
2023-01-22,4.73,2.09,0.07,8.1,7.83,3.7
2023-01-23,4.63,4.4,1.34,6.81,6.58,4.51
2023-01-24,4.0,1.6,0.19,10.0,7.33,1.24
2023-01-25,4.0,3.59,0.76,6.3,7.52,2.98
2023-01-26,4.34,5.19,1.54,6.91,8.55,5.07
2023-01-27,4.86,2.01,1.03,8.7,5.22,4.27
2023-01-28,4.11,2.43,0.46,8.5,7.21,2.8
2023-01-29,4.14,3.1,0.64,8.61,7.74,3.06
2023-01-30,4.0,2.5,1.34,8.09,5.01,3.51
2023-01-31,4.54,1.45,0.63,6.6,4.97,5.4
2023-02-01,4.0,3.07,1.11,5.86,4.8,5.05
2023-02-02,4.0,1.94,1.02,7.26,6.32,3.53
2023-02-03,4.0,3.47,0.67,6.73,7.55,4.01
2023-02-04,4.02,2.08,2.07,9.37,8.32,2.66
2023-02-05,4.0,4.55,1.32,7.99,7.24,4.13
2023-02-06,4.0,2.22,0.0,6.04,8.07,2.55
2023-02-07,4.22,2.68,1.09,6.7,5.26,4.73
2023-02-08,4.0,3.81,0.67,8.0,5.2,5.29
2023-02-09,4.16,1.77,1.43,6.41,6.5,4.47
2023-02-10,4.0,3.23,0.6,6.35,7.15,4.61
2023-02-11,4.0,4.31,0.94,8.35,7.02,3.54
2023-02-12,4.07,1.39,1.25,7.05,4.42,3.69
2023-02-13,4.0,3.18,1.43,6.99,6.83,3.91
2023-02-14,4.0,3.26,0.4,6.47,5.43,4.44
2023-02-15,4.0,3.78,0.83,8.25,7.59,3.9
2023-02-16,4.0,1.76,0.76,4.96,6.87,2.95
2023-02-17,4.98,1.68,0.67,4.6,5.04,5.83
2023-02-18,4.0,3.52,1.88,6.85,6.57,4.31
2023-02-19,4.62,3.3,1.2,7.14,5.53,4.52
2023-02-20,4.0,3.25,0.37,7.89,6.66,2.97
2023-02-21,4.36,3.35,1.46,10.0,7.74,2.13
2023-02-22,4.52,2.32,2.06,8.73,5.63,4.45
2023-02-23,4.19,3.23,1.52,7.66,7.36,3.74
2023-02-24,4.0,3.29,0.24,7.26,6.18,3.19
2023-02-25,4.0,2.29,0.76,5.58,5.82,3.59
2023-02-26,4.0,4.87,1.63,8.36,7.19,3.99
2023-02-27,4.86,3.47,0.65,6.88,5.35,5.74
2023-02-28,4.66,1.81,1.22,7.53,5.73,3.84
2023-03-01,4.93,3.66,1.39,6.34,5.34,4.65
2023-03-02,4.0,2.03,0.54,8.25,8.47,2.09
2023-03-03,4.46,3.79,0.97,10.0,6.76,3.3
2023-03-04,4.88,4.16,0.0,7.23,5.69,3.41
2023-03-05,4.0,2.18,0.49,7.75,6.74,3.07
2023-03-06,4.0,3.96,0.87,8.86,6.86,3.43
2023-03-07,4.48,3.41,0.38,6.8,6.3,4.61
2023-03-08,4.15,3.82,1.82,8.56,7.66,4.54
2023-03-09,4.68,4.9,0.28,8.07,7.46,4.65
2023-03-10,4.0,2.75,0.78,7.44,6.18,3.6
2023-03-11,4.59,2.25,1.07,5.99,5.79,3.95
2023-03-12,4.0,2.11,1.72,7.49,6.49,4.91
2023-03-13,4.0,2.18,0.28,7.33,4.19,4.21
2023-03-14,4.0,2.92,1.58,9.61,5.38,3.72
2023-03-15,4.63,3.34,1.01,9.33,7.93,3.07
2023-03-16,4.33,3.28,0.51,10.0,8.23,2.54
2023-03-17,4.05,3.83,1.23,6.72,6.74,4.24
2023-03-18,4.0,3.01,1.1,9.02,7.4,2.68
2023-03-19,4.75,4.45,0.7,8.22,6.96,3.94
2023-03-20,4.0,2.74,1.03,10.0,9.83,1.56
2023-03-21,4.63,5.72,0.81,7.37,8.11,4.22
2023-03-22,4.0,3.63,1.06,6.51,6.81,3.84
2023-03-23,4.0,2.14,1.33,6.29,5.73,4.23
2023-03-24,4.0,1.93,1.79,3.95,5.13,5.04
2023-03-25,4.0,3.48,0.38,6.76,6.97,4.54
2023-03-26,4.5,2.78,2.07,6.51,5.96,3.42
2023-03-27,4.01,3.71,0.02,7.41,5.32,4.79
2023-03-28,4.0,3.47,0.92,8.07,6.23,4.47
2023-03-29,4.8,2.93,1.29,10.0,5.36,2.88
2023-03-30,4.0,2.15,1.14,9.09,8.35,2.07
2023-03-31,4.09,1.49,0.69,6.24,7.27,2.98
2023-04-01,4.81,2.55,0.9,5.94,6.28,3.8
2023-04-02,4.25,3.86,0.75,8.78,8.28,2.66
2023-04-03,4.0,3.21,0.71,5.57,6.86,3.63
2023-04-04,4.88,1.75,1.42,9.77,5.33,4.48
2023-04-05,4.26,3.17,1.18,9.73,8.26,3.1
2023-04-06,4.0,3.39,0.65,6.98,7.35,4.25
2023-04-07,4.0,2.12,1.45,4.64,5.67,5.08
2023-04-08,4.59,3.15,1.15,9.6,6.38,3.01
2023-04-09,4.24,3.06,1.41,7.35,5.89,4.04
2023-04-10,4.07,1.86,1.31,8.85,5.22,3.77
