date,sleep_hours,study_hours,training_hours,stress,fatigue,productivity
2023-01-01,8.81,5.36,1.69,5.88,6.32,7.78
2023-01-02,8.14,4.73,0.2,10.0,7.57,5.17
2023-01-03,6.2,0.91,2.33,4.72,10.0,4.45
2023-01-04,11.88,1.87,1.36,9.11,8.57,5.63
2023-01-05,8.45,1.49,1.57,5.79,8.3,5.52
2023-01-06,5.14,4.46,1.32,7.7,7.35,4.4
2023-01-07,4.0,0.2,1.2,5.43,7.07,3.1
2023-01-08,4.38,3.42,1.68,7.73,10.0,3.48
2023-01-09,5.21,4.57,0.47,10.0,5.55,4.55
2023-01-10,4.45,5.26,0.55,6.4,4.93,5.73
2023-01-11,4.68,2.05,2.59,8.85,6.78,2.99
2023-01-12,5.57,4.93,2.84,8.88,6.36,5.87
2023-01-13,4.56,0.66,1.12,8.65,5.75,3.41
2023-01-14,11.07,5.08,0.81,10.0,2.74,9.89
2023-01-15,4.0,0.76,1.93,9.18,3.92,3.51
2023-01-16,7.72,2.38,1.23,4.42,2.02,8.26
2023-01-17,6.69,4.78,0.08,4.74,10.0,5.08
2023-01-18,11.84,0.9,0.47,4.41,3.2,9.7
2023-01-19,4.01,1.38,2.15,8.85,7.16,2.73
2023-01-20,6.58,4.33,1.98,5.17,9.09,5.67
2023-01-21,11.73,4.32,0.08,7.18,1.98,10.0
2023-01-22,10.79,3.85,0.67,9.54,9.06,5.84
2023-01-23,10.35,4.16,0.69,7.04,7.88,6.66
2023-01-24,5.32,3.26,2.02,10.0,4.2,5.09
2023-01-25,4.54,1.51,0.06,3.79,6.8,4.67
2023-01-26,9.02,2.07,0.31,4.17,8.88,5.22
2023-01-27,11.36,1.09,2.4,10.0,8.52,5.6
2023-01-28,8.01,5.45,0.54,8.54,6.4,5.97
2023-01-29,8.14,3.5,1.96,10.0,7.54,5.74
2023-01-30,5.52,2.41,0.71,6.72,4.36,4.51
2023-01-31,9.93,2.77,0.3,6.05,9.57,5.34
2023-02-01,4.68,5.68,0.73,10.0,6.03,4.71
2023-02-02,5.91,0.92,2.17,10.0,10.0,2.86
2023-02-03,6.83,3.52,2.57,10.0,8.65,4.2
2023-02-04,7.57,3.04,2.49,6.67,7.79,5.45
2023-02-05,5.18,3.67,1.19,9.37,7.99,4.45
2023-02-06,4.03,0.11,2.0,5.98,5.49,3.05
2023-02-07,8.5,5.23,0.61,4.27,3.51,7.84
2023-02-08,5.6,5.59,0.88,10.0,5.47,5.43
2023-02-09,8.23,3.39,2.69,4.81,3.78,8.17
2023-02-10,4.39,4.18,0.04,10.0,10.0,1.47
2023-02-11,7.33,5.53,0.26,7.88,5.64,6.79
2023-02-12,7.79,4.24,0.62,4.65,2.6,8.57
2023-02-13,4.0,0.92,0.08,8.18,10.0,1.0
2023-02-14,6.03,3.46,0.54,10.0,10.0,2.02
2023-02-15,4.21,3.64,1.75,10.0,10.0,2.62
2023-02-16,4.0,2.54,1.26,10.0,10.0,1.82
2023-02-17,11.91,4.42,2.68,9.47,2.03,9.92
2023-02-18,5.9,5.61,2.45,10.0,7.23,6.06
2023-02-19,10.29,5.55,1.03,10.0,7.99,6.04
2023-02-20,5.29,2.71,0.78,6.16,9.31,2.73
2023-02-21,9.13,0.68,1.14,6.38,2.19,7.14
2023-02-22,9.84,5.91,1.77,7.09,8.96,7.18
2023-02-23,8.36,5.03,0.8,10.0,4.01,7.05
2023-02-24,7.24,0.75,1.87,10.0,3.91,4.89
2023-02-25,6.71,5.53,1.23,4.94,7.83,6.6
2023-02-26,6.14,5.22,1.66,10.0,8.65,3.67
2023-02-27,11.37,3.11,1.31,10.0,5.42,7.98
2023-02-28,10.48,3.55,0.88,4.25,1.47,10.0
2023-03-01,11.69,2.39,2.85,9.3,8.1,7.28
2023-03-02,4.12,0.33,2.29,10.0,5.85,2.81
2023-03-03,9.58,2.01,0.42,2.41,1.87,9.58
2023-03-04,11.45,4.82,2.61,10.0,8.76,7.32
2023-03-05,4.63,0.03,1.46,6.13,10.0,2.25
2023-03-06,4.0,2.0,2.68,10.0,10.0,2.03
2023-03-07,9.67,2.39,2.4,10.0,8.41,5.91
2023-03-08,8.17,3.22,1.28,10.0,7.72,4.87
2023-03-09,10.58,5.52,0.07,8.1,5.79,8.23
2023-03-10,4.26,2.08,0.81,10.0,4.23,3.57
2023-03-11,10.16,2.08,1.62,10.0,4.34,7.48
2023-03-12,4.81,4.43,1.9,7.21,7.21,4.46
2023-03-13,4.47,2.71,0.77,10.0,5.8,4.23
2023-03-14,4.48,1.35,0.42,3.79,9.62,3.0
2023-03-15,10.33,2.71,2.5,9.0,5.34,6.55
2023-03-16,8.99,0.85,2.95,4.61,2.0,8.7
2023-03-17,7.71,1.06,1.58,3.61,3.65,6.97
2023-03-18,6.23,2.99,0.52,4.49,8.74,5.15
2023-03-19,10.89,2.51,0.82,8.47,1.0,8.53
2023-03-20,6.53,5.49,0.06,7.72,10.0,4.04
2023-03-21,10.35,2.17,2.74,10.0,5.27,5.91
2023-03-22,6.95,3.48,0.35,4.06,6.62,5.98
2023-03-23,6.39,3.79,1.73,7.14,8.24,3.68
2023-03-24,7.16,0.08,0.82,7.93,9.02,2.18
2023-03-25,5.71,3.98,1.66,10.0,6.4,4.86
2023-03-26,9.73,1.07,1.95,6.14,6.84,6.79
2023-03-27,7.52,5.77,2.49,10.0,7.98,5.93
2023-03-28,5.09,0.89,0.62,10.0,5.16,2.64
2023-03-29,11.1,2.49,0.03,8.87,7.86,5.82
2023-03-30,6.46,0.51,0.41,5.2,9.13,3.44
2023-03-31,7.89,5.98,2.7,5.57,8.72,6.51
