date,sleep_hours,study_hours,training_hours,stress,fatigue,productivity
2023-01-01,8.75,4.93,2.38,10.0,8.03,6.13
2023-01-02,7.79,5.91,1.54,10.0,7.08,5.79
2023-01-03,8.97,2.6,2.43,9.13,6.62,5.98
2023-01-04,10.28,4.56,2.68,8.93,5.85,8.49
2023-01-05,7.65,3.35,2.21,8.48,6.86,5.74
2023-01-06,7.65,3.51,2.94,10.0,7.16,5.37
2023-01-07,10.37,3.41,1.61,8.43,6.04,6.51
2023-01-08,9.15,3.14,1.38,10.0,5.85,6.38
2023-01-09,7.3,4.05,1.11,8.2,8.64,5.11
2023-01-10,8.81,3.17,2.75,10.0,5.89,7.32
2023-01-11,7.3,4.27,2.33,10.0,7.48,5.01
2023-01-12,7.3,3.95,1.97,10.0,7.09,5.19
2023-01-13,8.36,3.76,2.14,9.92,8.45,5.19
2023-01-14,5.13,3.09,1.44,10.0,8.54,3.71
2023-01-15,5.41,3.42,3.0,10.0,9.61,3.18
2023-01-16,7.16,4.76,2.06,10.0,6.29,5.82
2023-01-17,6.48,4.5,2.05,10.0,8.34,4.72
2023-01-18,8.47,3.02,2.36,10.0,7.73,5.25
2023-01-19,6.64,4.1,2.24,10.0,8.03,4.3
2023-01-20,5.88,4.75,2.11,10.0,9.5,3.87
2023-01-21,10.2,2.33,1.6,9.52,5.17,7.23
2023-01-22,7.66,4.54,2.24,9.11,8.94,4.6
2023-01-23,8.1,3.34,2.94,9.44,9.51,4.8
2023-01-24,5.86,4.57,2.67,10.0,8.16,4.05
2023-01-25,7.18,3.24,2.8,10.0,7.17,5.56
2023-01-26,8.17,2.2,1.74,9.63,8.15,3.67
2023-01-27,6.27,2.37,1.51,10.0,9.22,2.67
2023-01-28,8.56,4.05,1.94,10.0,6.4,6.21
2023-01-29,7.1,4.26,2.03,9.8,7.29,5.89
2023-01-30,7.56,3.1,2.55,9.33,7.07,5.23
2023-01-31,7.1,4.64,1.15,10.0,6.27,5.07
2023-02-01,10.78,2.34,2.76,8.49,4.71,8.76
2023-02-02,7.98,3.93,1.92,10.0,6.18,5.04
2023-02-03,6.41,2.79,1.79,8.06,6.94,3.66
2023-02-04,9.23,3.35,1.49,10.0,6.32,6.19
2023-02-05,6.17,4.05,1.17,10.0,8.19,3.63
2023-02-06,8.31,3.14,2.41,10.0,8.5,4.32
2023-02-07,5.06,3.62,2.04,10.0,7.6,4.0
2023-02-08,6.01,5.01,1.36,10.0,9.25,3.94
2023-02-09,8.3,3.42,1.35,10.0,6.59,5.1
2023-02-10,9.11,4.84,1.83,8.51,6.73,6.26
2023-02-11,8.26,2.87,2.83,8.97,7.68,5.9
2023-02-12,7.83,4.53,1.87,9.55,6.24,6.35
2023-02-13,7.55,5.44,1.25,10.0,7.94,5.2
2023-02-14,5.78,1.53,1.88,10.0,7.96,3.9
2023-02-15,6.92,3.2,1.86,9.4,8.04,3.83
2023-02-16,7.31,4.58,0.65,10.0,7.68,3.95
2023-02-17,9.59,3.8,1.97,9.73,8.82,5.21
2023-02-18,8.52,4.37,1.88,9.54,6.35,6.25
2023-02-19,5.36,3.4,2.35,8.9,7.94,4.12
2023-02-20,8.49,4.09,2.92,9.49,6.54,6.27
2023-02-21,7.42,3.84,2.56,8.97,7.01,5.79
2023-02-22,6.98,5.17,1.87,9.59,7.28,4.81
2023-02-23,8.92,4.25,1.45,10.0,7.87,6.27
2023-02-24,9.55,4.34,3.0,9.87,8.11,6.26
2023-02-25,9.4,3.59,2.03,10.0,5.85,7.06
2023-02-26,6.74,3.51,2.01,10.0,6.9,4.89
2023-02-27,7.54,3.57,1.99,10.0,7.81,5.0
2023-02-28,8.5,4.39,2.1,9.39,6.5,6.61
2023-03-01,9.46,3.58,1.93,10.0,7.0,6.26
2023-03-02,7.28,4.29,1.71,9.77,7.76,5.25
2023-03-03,7.72,6.0,1.73,10.0,6.17,7.08
2023-03-04,6.34,4.87,1.98,10.0,9.75,4.01
2023-03-05,6.21,3.67,1.73,10.0,9.78,3.64
2023-03-06,9.22,5.2,1.64,10.0,6.15,6.78
2023-03-07,10.03,3.59,2.05,9.14,5.72,7.86
2023-03-08,7.89,1.96,1.87,9.54,7.11,4.35
2023-03-09,9.51,2.99,2.75,10.0,6.72,7.09
2023-03-10,8.54,2.13,0.67,8.6,6.95,5.04
2023-03-11,7.03,3.65,2.55,10.0,9.74,3.23
2023-03-12,8.54,4.02,2.62,10.0,6.88,6.08
2023-03-13,10.31,5.68,0.96,9.51,5.37,7.47
2023-03-14,7.95,4.33,1.83,10.0,5.88,6.43
2023-03-15,10.35,3.78,1.81,10.0,5.21,6.92
2023-03-16,4.07,4.83,1.3,10.0,9.16,2.57
