date,sleep_hours,study_hours,training_hours,stress,fatigue,productivity
2023-01-01,9.65,3.26,1.03,4.4,1.59,10.0
2023-01-02,9.57,2.64,1.1,3.91,1.03,9.15
2023-01-03,9.36,3.09,1.06,2.93,1.93,8.92
2023-01-04,9.99,2.62,1.49,3.11,1.28,9.8
2023-01-05,9.61,2.69,0.87,2.85,1.43,9.79
2023-01-06,9.24,2.3,0.89,3.74,1.46,9.32
2023-01-07,9.1,2.54,0.88,2.4,1.53,9.47
2023-01-08,9.15,2.32,0.89,3.43,1.63,9.37
2023-01-09,9.25,2.51,0.87,3.78,1.21,8.75
2023-01-10,9.16,3.53,1.24,4.49,1.55,10.0
2023-01-11,9.19,2.53,1.28,3.23,2.03,9.27
2023-01-12,9.29,4.32,0.89,4.67,2.35,9.96
2023-01-13,9.17,3.25,0.83,2.76,1.6,9.94
2023-01-14,9.9,3.09,1.09,4.18,1.16,10.0
2023-01-15,9.08,2.57,0.89,2.65,1.79,9.71
2023-01-16,9.52,3.35,1.13,3.44,1.55,10.0
2023-01-17,9.41,2.71,1.04,3.93,1.08,9.91
2023-01-18,9.98,3.06,0.7,2.63,1.0,10.0
2023-01-19,9.11,4.28,1.31,3.59,2.28,9.87
2023-01-20,9.4,2.95,1.36,4.1,1.82,9.78
2023-01-21,9.97,3.57,0.88,3.97,1.0,10.0
2023-01-22,9.87,2.65,0.92,3.55,1.0,10.0
2023-01-23,9.82,2.98,1.06,3.83,1.13,9.58
2023-01-24,9.26,3.89,1.07,3.98,2.03,10.0
2023-01-25,9.17,2.69,1.13,2.89,1.2,9.73
2023-01-26,9.67,3.91,1.4,3.55,1.33,9.61
2023-01-27,9.93,3.35,0.96,2.99,1.7,10.0
2023-01-28,9.56,2.72,0.84,4.11,1.11,9.2
2023-01-29,9.57,3.32,0.72,3.72,1.67,10.0
2023-01-30,9.28,3.49,0.85,3.4,1.47,9.46
2023-01-31,9.77,3.31,0.99,3.42,1.08,9.93
2023-02-01,9.19,2.21,1.36,4.23,1.36,8.23
2023-02-02,9.32,2.64,0.9,2.73,1.77,9.33
2023-02-03,9.43,2.88,1.04,3.73,1.93,8.18
2023-02-04,9.51,2.96,1.0,3.57,1.87,8.73
2023-02-05,9.24,3.31,1.24,3.92,1.69,9.94
2023-02-06,9.11,3.09,1.51,2.83,2.04,10.0
2023-02-07,9.61,2.33,0.89,3.91,1.04,9.73
2023-02-08,9.29,3.19,0.9,4.38,1.46,8.91
2023-02-09,9.58,3.31,1.21,3.89,2.01,9.58
2023-02-10,9.15,3.28,1.14,3.98,1.32,9.61
2023-02-11,9.48,3.54,1.37,4.58,1.33,9.18
2023-02-12,9.53,3.42,1.12,4.04,1.35,10.0
2023-02-13,9.05,3.23,0.93,2.83,1.34,10.0
2023-02-14,9.34,2.96,1.12,3.64,1.33,9.56
2023-02-15,9.13,2.17,1.22,3.57,1.69,9.17
2023-02-16,9.06,3.21,1.16,3.51,1.76,9.61
2023-02-17,9.99,3.1,1.1,4.08,1.74,8.73
2023-02-18,9.32,3.14,1.21,4.58,2.03,9.07
2023-02-19,9.81,2.36,1.23,4.16,1.15,9.27
2023-02-20,9.25,2.46,1.28,3.3,1.38,9.05
2023-02-21,9.68,3.53,1.13,2.92,1.47,10.0
2023-02-22,9.76,2.98,0.97,4.46,1.5,10.0
2023-02-23,9.6,3.34,1.03,4.26,1.34,10.0
2023-02-24,9.47,3.01,1.24,2.87,1.74,9.57
2023-02-25,9.41,3.01,0.84,4.29,1.48,9.67
2023-02-26,9.35,3.47,1.07,4.46,1.78,10.0
2023-02-27,9.93,2.74,0.92,3.38,1.21,10.0
2023-02-28,9.83,3.05,1.01,3.64,1.19,10.0
2023-03-01,9.97,2.77,1.26,3.36,1.77,9.53
2023-03-02,9.12,2.78,1.04,2.65,1.96,9.85
2023-03-03,9.73,2.85,1.01,3.04,1.05,10.0
2023-03-04,9.94,3.11,0.73,4.1,1.67,10.0
2023-03-05,9.18,2.76,1.15,2.52,1.68,10.0
2023-03-06,9.07,3.63,1.13,3.56,2.31,9.96
2023-03-07,9.74,2.55,1.43,3.34,1.73,9.46
2023-03-08,9.57,2.91,0.94,3.51,1.41,10.0
2023-03-09,9.84,2.78,1.04,4.19,1.0,9.89
2023-03-10,9.14,3.72,1.05,3.45,1.65,10.0
2023-03-11,9.8,3.1,1.32,3.32,1.52,9.69
2023-03-12,9.2,3.52,0.98,4.22,1.93,10.0
2023-03-13,9.16,2.26,1.06,3.16,1.34,9.51
2023-03-14,9.16,3.13,1.12,3.01,1.41,9.48
2023-03-15,9.81,3.44,1.04,3.61,1.82,9.64
2023-03-16,9.67,3.04,0.91,2.85,1.94,9.63
2023-03-17,9.52,3.53,1.04,3.06,1.68,10.0
2023-03-18,9.36,2.74,1.21,3.44,1.28,9.96
2023-03-19,9.88,3.7,0.79,3.43,1.23,9.95
2023-03-20,9.39,4.15,1.03,4.66,1.36,9.81
2023-03-21,9.82,2.82,0.86,3.17,1.74,10.0
2023-03-22,9.44,2.78,1.24,3.61,1.2,10.0
2023-03-23,9.38,3.73,0.7,3.94,1.78,9.82
2023-03-24,9.46,3.79,0.89,2.73,1.48,10.0
2023-03-25,9.3,2.74,1.08,3.81,1.66,9.42
2023-03-26,9.75,2.79,1.31,2.91,1.59,10.0
2023-03-27,9.5,2.86,0.99,4.44,1.85,8.71
2023-03-28,9.23,2.33,0.89,2.51,1.24,9.54
