date,sleep_hours,study_hours,training_hours,stress,fatigue,productivity
2023-01-01,8.75,2.4,0.76,7.11,5.05,6.64
2023-01-02,7.79,4.85,0.91,9.05,4.35,6.93
2023-01-03,8.97,2.99,0.45,6.1,5.6,6.5
2023-01-04,10.28,1.94,0.4,5.6,1.93,8.8
2023-01-05,7.65,3.82,1.41,7.14,5.81,6.56
2023-01-06,7.65,1.78,1.68,5.25,7.06,5.39
2023-01-07,10.37,3.21,0.96,7.22,2.66,9.56
2023-01-08,9.15,1.04,1.5,6.82,3.36,7.39
2023-01-09,7.3,1.67,1.18,6.87,5.02,5.11
2023-01-10,8.81,3.2,0.68,6.59,3.87,7.79
2023-01-11,7.3,3.74,1.18,5.11,3.78,7.07
2023-01-12,7.3,3.17,1.77,6.93,5.41,6.7
2023-01-13,8.36,2.88,0.98,6.35,3.53,7.99
2023-01-14,5.13,2.7,1.78,6.5,6.8,4.2
2023-01-15,5.41,1.52,0.0,6.15,4.68,5.18
2023-01-16,7.16,2.28,1.41,8.06,6.71,5.12
2023-01-17,6.48,2.54,1.04,9.84,4.7,5.25
2023-01-18,8.47,4.06,0.85,7.62,4.43,8.11
2023-01-19,6.64,3.34,1.05,7.98,6.37,5.01
2023-01-20,5.88,1.24,0.01,6.08,4.08,4.71
2023-01-21,10.2,3.32,0.89,4.18,3.97,8.51
2023-01-22,7.66,2.61,1.18,7.34,6.24,5.22
2023-01-23,8.1,2.32,1.74,6.94,3.15,7.22
2023-01-24,5.86,3.61,0.74,10.0,6.12,4.42
2023-01-25,7.18,4.03,0.6,7.22,5.6,6.22
2023-01-26,8.17,3.93,0.75,7.98,5.63,6.75
2023-01-27,6.27,2.16,1.46,6.91,4.35,5.73
2023-01-28,8.56,2.69,1.16,5.04,3.17,8.75
2023-01-29,7.1,3.33,0.74,9.09,5.78,5.03
2023-01-30,7.56,3.98,1.26,8.82,5.57,7.34
